,id,Coin_Name,Symbol,num_market_pairs,Launch_Date,Circulating_supply,Total_supply,cmc_rank,last_updated,Price,Volume_24h,Volume_change_24h,Percent_change_1h,Percent_change_24h,Percent_change_7d,Percent_change_30d,Percent_change_60d,Percent_change_90d,Market_cap,Market_cap_dominance,Fully_diluted_market_cap,Last_updated
51,6719,The Graph,GRT,179,2020-12-17 00:00:00,4715735200.0,10000000000.0,52,2022-01-28T01:53:00.000Z,0.40415771862060934,87616112.92708522,-24.0816,0.2684394,2.09315149,-17.00480392,-39.75083599,-59.03551666,-57.75593998,1905900780.0509028,0.1149,4064632133.3,2022-01-28 01:53:00
52,7186,PancakeSwap,CAKE,205,2020-09-25 00:00:00,262513882.45237243,262513882.45237243,53,2022-01-28T01:53:00.000Z,7.109565989697292,165283238.71659184,4.0874,-1.33458858,-3.19020198,-29.69296115,-42.21424745,-47.62391923,-61.69461065,1866359770.50678,0.1125,1866359770.51,2022-01-28 01:53:00
53,4847,Stacks,STX,40,2019-10-28 00:00:00,1295960733.305473,1352464600.0,54,2022-01-28T01:53:00.000Z,1.389046216087533,45822948.77554046,-46.0187,-0.19658621,3.29585026,-25.75217079,-39.34354928,-29.88941982,-29.03610741,1800149352.795992,0.1085,2525286020.85,2022-01-28 01:53:00
54,1518,Maker,MKR,234,2017-01-29 00:00:00,977647.37512502,977647.37512502,55,2022-01-28T01:53:00.000Z,1743.9169984520872,183850997.66979897,-26.1867,-0.51014281,3.72710471,-6.83101399,-30.52865123,-43.31805766,-28.63092381,1704935875.9725866,0.1027,1753642823.55,2022-01-28 01:53:00
55,3602,Bitcoin SV,BSV,167,2018-11-09 00:00:00,18963376.64423905,18963376.64423905,56,2022-01-28T01:53:00.000Z,88.53195165217274,124250581.47147807,-15.7876,-0.46435135,-1.33882573,-13.40355041,-27.80762976,-41.79170612,-46.31614957,1678864744.2297132,0.1012,1859170984.7,2022-01-28 01:53:00
56,4558,Flow,FLOW,56,2021-01-27 00:00:00,318082398.0,1378211739.0,57,2022-01-28T01:53:00.000Z,5.078017487955957,219638740.98722872,0.8933,-1.24269736,4.16645907,-18.8729502,-42.17516408,-59.14417969,-61.52316427,1615227979.654967,0.0974,6998583312.75,2022-01-28 01:53:00
57,2563,TrueUSD,TUSD,223,2018-03-06 00:00:00,1484671127.109864,1484671127.109864,58,2022-01-28T01:53:00.000Z,1.000410308138968,81690005.87968406,-3.0806,0.04890695,0.05363129,0.06256359,0.02665548,0.01718778,0.06363582,1485280299.7570078,0.0895,1485280299.76,2022-01-28 01:53:00
58,5034,Kusama,KSM,119,2019-12-12 00:00:00,8470098.05726206,9651217.45126206,59,2022-01-28T01:53:00.000Z,164.06523553141724,63312400.32901129,-24.7909,0.65322792,1.80913329,-31.1387471,-45.16142515,-54.21554969,-55.33672482,1389648632.7388995,0.0838,1583429264.31,2022-01-28 01:53:00
59,2130,Enjin Coin,ENJ,215,2017-11-01 00:00:00,853576205.567558,1000000000.0,60,2022-01-28T01:53:00.000Z,1.6027059173283327,249549967.9488427,-12.1211,1.00776015,6.11402082,-20.58782682,-43.11934606,-58.22147391,-31.3360552,1368031635.5537906,0.0824,1602705917.33,2022-01-28 01:53:00
60,2502,Huobi Token,HT,108,2018-02-03 00:00:00,156741729.25441208,500000000.0,61,2022-01-28T01:53:00.000Z,8.651552365500299,54647977.08595292,-18.069,-0.89285662,0.19664235,-9.98266194,-10.97300586,-12.6144258,-7.46142139,1356059278.5036163,0.0817,4325776182.75,2022-01-28 01:53:00
61,10791,eCash,XEC,46,2021-07-08 00:00:00,18962917173313.0,18899704673313.0,62,2022-01-28T01:53:00.000Z,7.030436053740731e-05,17116455.12051212,-24.8278,-0.32913766,-0.27663311,-19.21433206,-36.49786699,-53.15408945,-62.85319308,1333175765.7935898,0.0803,1476391571.29,2022-01-28 01:53:00
62,4157,THORChain,RUNE,68,2019-07-23 00:00:00,330688061.33445597,334937974.91478544,63,2022-01-28T01:53:00.000Z,3.9353533547112796,39966675.65012031,-42.3342,-1.28316676,-1.47267132,-19.37863393,-46.25016279,-64.51223233,-71.15870134,1301374371.5355206,0.0784,1967676677.36,2022-01-28 01:53:00
63,7080,Gala,GALA,115,2020-09-16 00:00:00,6977205436.0,35240112493.0,64,2022-01-28T01:53:00.000Z,0.18246585836593096,454594124.49312395,-39.6679,-1.98578285,-8.86954654,-27.45943304,-62.26781477,-74.10844711,82.33556251,1273101778.8751795,0.0767,6430117374.95,2022-01-28 01:53:00
64,1376,Neo,NEO,239,2016-09-08 00:00:00,70538831.0,100000000.0,65,2022-01-28T01:53:00.000Z,17.917469805132757,89655282.2507704,-22.8797,-0.56393279,0.81988054,-18.8749591,-33.92206447,-52.87639237,-58.13941885,1263877374.5318625,0.0762,1791746980.51,2022-01-28 01:53:00
65,6538,Curve DAO Token,CRV,230,2020-08-14 00:00:00,455784851.0329139,1678571681.304409,66,2022-01-28T01:53:00.000Z,2.756388544904612,321664385.64896476,-41.2526,-0.94148848,-1.219371,-27.77555228,-46.1653698,-43.99599116,-41.17658497,1256320142.328179,0.0757,9104434879.64,2022-01-28 01:53:00
66,2087,KuCoin Token,KCS,35,2017-10-24 00:00:00,80118638.0,170118638.0,67,2022-01-28T01:53:00.000Z,15.656959988326777,20957107.82469032,4.6455,-2.49312238,-1.51618781,-18.22561555,-27.71196097,-34.37423272,-14.61959361,1254414309.4852374,0.0756,2663540708.43,2022-01-28 01:53:00
67,1934,Loopring,LRC,174,2017-08-30 00:00:00,1329247432.8078947,1373873440.4424574,68,2022-01-28T01:53:00.000Z,0.9427460736082462,327030721.567003,-52.3399,-1.26909991,-7.33404486,-7.88748008,-54.72809793,-70.006422,58.5489544,1253142798.133484,0.0755,1295817578.57,2022-01-28 01:53:00
68,3897,OKB,OKB,58,2019-04-30 00:00:00,60000000.0,300000000.0,69,2022-01-28T01:53:00.000Z,20.81295623746623,46895009.96408513,-89.0208,-0.50868864,-0.53520037,-14.2202246,-30.24811623,-15.18394874,-3.65164729,1248777374.247974,0.0753,6243886871.24,2022-01-28 01:53:00
69,1697,Basic Attention Token,BAT,276,2017-06-01 00:00:00,1494840445.4473505,1500000000.0,70,2022-01-28T01:53:00.000Z,0.8350093349770981,171571569.10951915,-14.1316,0.56535036,4.67951724,-6.16798725,-32.47872378,-49.30175634,4.33147479,1248205726.2498612,0.0752,1252514002.47,2022-01-28 01:53:00
70,6945,Amp,AMP,63,2020-09-08 00:00:00,42227702186.0,99213408535.0,71,2022-01-28T01:53:00.000Z,0.028864541929704463,18004197.92134149,-57.9212,-0.69724099,-1.4730271,-17.1187073,-44.20612822,-54.30481428,-37.49557386,1218883280.3428698,0.0735,2671345183.29,2022-01-28 01:53:00
71,1437,Zcash,ZEC,242,2016-10-29 00:00:00,13618150.0,13618150.0,72,2022-01-28T01:53:00.000Z,87.5329154508408,237157154.27138293,-19.2788,-0.96894028,1.73541245,-23.81717675,-41.9432015,-64.0328714,-45.66824964,1192036372.5468676,0.0718,1838191224.47,2022-01-28 01:53:00
72,5567,Celo,CELO,76,2020-05-22 00:00:00,387111233.0,1000000000.0,73,2022-01-28T01:53:00.000Z,3.0647071872280365,57455224.46081324,-33.3926,-0.07296379,1.40181964,-23.07080237,-34.37617554,-37.2620696,-53.68466275,1186382578.031807,0.0715,3064707187.23,2022-01-28 01:53:00
73,9903,Convex Finance,CVX,79,2021-05-18 00:00:00,47726574.94886862,82522649.06211124,74,2022-01-28T01:53:00.000Z,23.10879893293995,25144876.2967718,55.1748,-0.26472514,-10.10290158,-38.65796746,-49.07810446,-13.97239404,-23.94255792,1102903824.2512937,0.0665,2310879893.29,2022-01-28 01:53:00
74,3155,Quant,QNT,75,2018-08-10 00:00:00,12072738.0,14612493.080826,75,2022-01-28T01:53:00.000Z,90.28872346660708,52195034.43438197,-4.6098,-4.42464712,-6.28618964,-30.00836593,-52.73717298,-57.24214851,-69.06646896,1090032102.766799,0.0657,1319343339.63,2022-01-28 01:53:00
75,7653,Oasis Network,ROSE,41,2020-11-12 00:00:00,3493014306.28,10000000000.0,76,2022-01-28T01:53:00.000Z,0.30430227313390273,178576395.17817387,-44.8786,-2.26025194,0.27397136,-25.10617827,-18.81982682,-7.14581285,56.16422555,1062932193.4902464,0.0641,3043022731.34,2022-01-28 01:53:00
76,4066,Chiliz,CHZ,223,2019-07-01 00:00:00,5955069766.354118,8888888888.0,77,2022-01-28T01:53:00.000Z,0.17452278248717068,170604795.39524552,-10.1148,-0.50209565,2.25015425,-23.48602417,-43.03393039,-60.24432477,-49.20288824,1039295345.5293461,0.0626,1551313621.95,2022-01-28 01:53:00
77,1274,Waves,WAVES,157,2016-06-02 00:00:00,107338522.0,107338522.0,78,2022-01-28T01:53:00.000Z,9.592708384948423,172487708.12854278,-75.1728,-0.63802137,-2.6330347,-21.63227196,-35.81254459,-52.87734185,-64.75928467,1029667140.0173708,0.0621,1029667140.02,2022-01-28 01:53:00
78,5632,Arweave,AR,46,2020-05-27 00:00:00,33394701.0,63190435.0,79,2022-01-28T01:53:00.000Z,30.344255316553326,29274373.66999969,-35.9707,-0.14347014,2.90098663,-21.79219023,-44.58051548,-47.13692897,-42.4909739,1013337333.3639587,0.0611,2002720850.89,2022-01-28 01:53:00
79,2694,Nexo,NEXO,56,2018-05-01 00:00:00,560000011.0,1000000000.0,80,2022-01-28T01:53:00.000Z,1.7589090349449101,8701291.36451805,-8.2929,-0.74295871,0.10960861,-17.30037513,-24.59719404,-31.99274715,-37.5613481,984989078.9171491,0.0594,1758909034.94,2022-01-28 01:53:00
80,131,Dash,DASH,325,2014-02-14 00:00:00,10552623.00308367,10552623.00308367,81,2022-01-28T01:53:00.000Z,91.10440484294197,186601393.5095511,-7.7343,-0.45987185,0.69958683,-22.6453409,-33.07507377,-49.23659541,-51.13496612,961390438.2278768,0.0579,1721873251.53,2022-01-28 01:53:00
81,3330,Pax Dollar,USDP,37,2018-09-27 00:00:00,945642940.11,945642940.11,82,2022-01-28T01:53:00.000Z,0.9979648504451591,11419758.5585204,-37.8079,-0.24192357,-0.21050977,-0.23566983,-0.22269733,-0.13970129,-0.19651332,943718415.3013967,0.0569,943718415.3,2022-01-28 01:53:00
