Date,Open,High,Low,Close,Adj Close,Volume
2017-11-15,256.619995,257.220001,255.630005,256.440002,238.049042,80811500
2017-11-16,257.519989,259.040009,257.470001,258.619995,240.072678,67777000
2017-11-17,258.220001,258.589996,257.769989,257.859985,239.367157,75756800
2017-11-20,258.140015,258.519989,257.859985,258.299988,239.775574,48075500
2017-11-21,259.179993,260.200012,258.260010,259.989990,241.344360,69176800
2017-11-22,260.000000,260.149994,259.570007,259.760010,241.130966,45033400
2017-11-24,260.320007,260.480011,260.160004,260.359985,241.687881,27856500
2017-11-27,260.410004,260.750000,260.000000,260.230011,241.567215,52274900
2017-11-28,260.760010,262.899994,260.649994,262.869995,244.017868,98971700
2017-11-29,263.019989,263.630005,262.200012,262.709991,243.869370,77512100
2017-11-30,263.760010,266.049988,263.670013,265.010010,246.004395,127894400
2017-12-01,264.760010,265.309998,260.760010,264.459991,245.493820,164390900
2017-12-04,266.309998,266.799988,264.079987,264.140015,245.196777,94040600
2017-12-05,263.190002,265.149994,263.040009,263.190002,244.314926,77994500
2017-12-06,263.299988,263.730011,262.709991,263.239990,244.361313,75898600
2017-12-07,264.070007,264.429993,262.940002,264.070007,245.131836,77218600
2017-12-08,265.160004,265.519989,264.029999,265.510010,246.468521,76563900
2017-12-11,266.309998,266.380005,265.480011,266.309998,247.211166,83077500
2017-12-12,267.209991,267.320007,266.350006,266.779999,247.647415,85195800
2017-12-13,267.059998,267.559998,266.649994,266.750000,247.619598,102905400
2017-12-14,267.089996,267.220001,265.600006,265.660004,246.607819,100666700
2017-12-15,265.450012,267.040009,265.390015,266.510010,248.661362,144610300
2017-12-18,268.100006,268.600006,267.980011,268.200012,250.238159,83653600
2017-12-19,268.480011,268.529999,267.089996,267.170013,249.277191,82382900
2017-12-20,268.269989,268.329987,266.690002,267.029999,249.146545,76751500
2017-12-21,267.739990,268.390015,267.299988,267.579987,249.659683,67032300
2017-12-22,267.600006,267.640015,266.899994,267.510010,249.594437,78720900
2017-12-26,267.049988,267.440002,266.890015,267.190002,249.295837,45244400
2017-12-27,267.380005,267.730011,267.010010,267.320007,249.417130,57751000
2017-12-28,267.890015,267.920013,267.450012,267.869995,249.930252,45116100
2017-12-29,268.529999,268.549988,266.640015,266.859985,248.987915,96007400
2018-01-02,267.839996,268.809998,267.399994,268.769989,250.770004,86655700
2018-01-03,268.959991,270.640015,268.959991,270.470001,252.356171,90070400
2018-01-04,271.200012,272.160004,270.540009,271.609985,253.419815,80636400
2018-01-05,272.510010,273.559998,271.950012,273.420013,255.108658,83524000
2018-01-08,273.309998,274.100006,272.980011,273.920013,255.575058,57319200
2018-01-09,274.399994,275.250000,274.079987,274.540009,256.153656,57254000
2018-01-10,273.679993,274.420013,272.920013,274.119995,255.761673,69574300
2018-01-11,274.750000,276.119995,274.559998,276.119995,257.627808,62361500
2018-01-12,276.420013,278.109985,276.079987,277.920013,259.307220,90816100
2018-01-16,279.350006,280.089996,276.179993,276.970001,258.420929,106555100
2018-01-17,278.029999,280.049988,276.970001,279.609985,260.884003,113258800
2018-01-18,279.480011,279.959991,278.579987,279.140015,260.445526,100728000
2018-01-19,279.799988,280.410004,279.140015,280.410004,261.630493,140920100
2018-01-22,280.170013,282.690002,280.109985,282.690002,263.757813,91322400
2018-01-23,282.739990,283.619995,282.369995,283.290009,264.317627,97084700
